Gestapo B-ORG
In O
fact O
Helene B-PER
Hirsch I-PER
never O
had O
any O
such O
disease B-TER
, O
but O
the O
employment B-TER
office I-TER
never O
made O
any O
difficulties O
for O
her O
, O
neither O
this O
first O
time O
, O
nor O
over O
any O
of O
the O
other O
various O
later O
medical B-TER
certificates O
. O

Also O
, O
at O
a O
time O
when O
she O
was O
supposed O
to O
go O
to O
the O
ammunitions O
factory B-TER
, O
she O
was O
exempted O
. O

She O
worked B-TER
in O
various O
roles O
, O
either O
where O
the O
employment O
of O
a O
German B-LOC
was O
required O
, O
or O
else O
, O
as O
in O
the O
case O
of O
Viktoria B-ORG
, O
where O
in O
view O
of O
Egon B-PER
’s I-PER
work B-TER
there O
, O
they O
wanted O
to O
help O
her O
. O

On O
one O
occasion O
she O
found O
employment O
through O
a O
Christian B-TER
manager O
who O
had O
declared O
his O
Jewish O
wife O
as O
a O
half B-TER
Jew I-TER
, O
felt O
insecure O
and O
wanted O
to O
hire O
anyone O
who O
he O
knew O
to O
have O
an O
anti B-TER
- I-TER
Nazi I-TER
stance O
. O

Helene B-PER
used O
these O
various O
jobs B-TER
, O
where O
opportunities O
always O
arose O
, O
to O
sabotage B-TER
the O
work B-TER
of O
the O
Germans B-LOC
. O

She O
also O
sheltered B-TER
a O
Jewish O
acquaintance O
in O
her O
place O
of O
living O
for O
a O
while O
. O

He O
had O
come O
to O
Prague B-LOC
after O
his O
Christian B-TER
wife O
had O
driven O
him O
out O
of O
Vienna B-LOC
. O

He O
was O
eventually O
discovered O
and O
sent O
to O
Theresienstadt B-LOC
concentration B-TER
camp I-TER
where O
he O
took B-TER
his I-TER
own I-TER
life I-TER
by O
touching O
electrically O
charged O
barbed O
wire O
. O

A O
month O
and O
a O
half O
before O
the O
end O
of O
the O
war B-TER
Helene B-PER
was O
able O
to O
go O
to O
Teplice B-LOC
to O
see O
her O
mother O
with O
a O
certificate B-TER
from O
the O
employment B-TER
office O
, O
again O
acknowledging O
her O
tuberculosis B-TER
. O

She O
had O
to O
attend O
a O
doctor B-TER
in O
Teplice B-LOC
, O
who O
gave O
her O
very O
painful O
injections O
against O
the O
supposed O
disease B-TER
, O
but O
she O
wanted O
to O
stay O
in O
Teplice B-LOC
so O
she O
had O
to O
put O
herself O
through O
that O
. O

Two O
months O
after O
the O
peace O
agreement O
, O
when O
the O
Russians B-LOC
occupied B-TER
Teplice B-LOC
, O
the O
two O
women B-TER
( O
the O
mother O
was O
still O
alive O
) O
took O
French B-LOC
prisoners B-TER
of I-TER
war I-TER
under O
their O
protection O
in O
their O
house B-TER
. O

Apart O
from O
the O
fear B-TER
of O
the O
Russians B-LOC
, O
they O
were O
also O
troubled O
by O
the O
possibility O
of O
deportation B-TER
, O
and O
this O
drove O
the O
mother O
to O
suicide B-TER
. O

Helene B-PER
was O
one O
of O
the O
first O
to O
be O
able O
to O
go O
to O
England B-LOC
. O

She O
profusely O
thanked O
an O
English B-LOC
lady B-TER
, O
a O
Christian B-TER
, O
who O
had O
readily O
accepted O
Egon B-PER
, O
for O
her O
tireless O
efforts O
. O

Since O
Egon B-PER
had O
always O
declared O
himself O
to O
the O
authorities O
in O
England B-LOC
as O
married B-TER
, O
it O
was O
soon O
possible O
to O
get O
the O
marriage B-TER
, O
which O
had O
only O
been O
dissolved B-TER
under O
the O
Nazi B-TER
regime I-TER
, O
legally O
valid O
again O
. O

As O
it O
turned O
out O
however O
, O
due O
to O
the O
fact O
that O
their O
experiences O
over O
the O
seven O
years O
of O
their O
separation O
had O
estranged O
them O
so O
much O
from O
one O
another O
, O
after O
three O
years O
together O
, O
Helene B-PER
and O
Egon B-PER
again O
divorced O
. O

Afterwards O
, O
like O
almost O
all O
refugees B-TER
, O
Helene B-PER
tried O
a O
wide O
variety O
of O
types O
of O
work B-TER
. O

In O
1947 O
she O
eventually O
got O
a O
job B-TER
as O
a O
secretary O
for O
the O
European O
Service O
of O
the O
BBC B-ORG
, O
where O
she O
still O
works B-TER
today O
. O

Helene B-PER
's I-PER
possessions O
and O
the O
large O
house B-TER
in O
Teplice B-LOC
were O
lost O
through O
the O
circumstances O
without O
any O
prospect O
of O
proportionate O
refunding B-TER
. O

Helen B-PER
Hirsch I-PER
3 O
. O

Juli O
1958 O
