Marta B-PER

We O
took O
it O
easy O
for O
three O
months O
. O

During O
that O
time O
, O
several O
Belarusians B-TER
were O
appointed O
to O
our O
apartment O
, O
and O
we O
were O
once O
again O
without O
a O
roof O
over O
our O
heads O
. O

My O
son B-TER
went O
to O
Mr. O
Czuliński B-PER
again O
, O
which O
is O
what O
our O
benefactor O
was O
called O
, O
and O
he O
promised O
to O
find O
us O
such O
a O
place O
again O
. O

And O
after O
a O
few O
days O
, O
he O
really O
did O
tell O
us O
that O
his O
former O
maid O
proposed O
a O
place O
with O
her O
. O

He O
and O
my O
son B-TER
went O
to O
agree O
on O
the O
conditions O
, O
and O
they O
never O
came O
back O
home O
. O

As O
we O
learned O
later O
, O
she O
was O
a O
cook O
for O
the O
Gestapo B-ORG
and O
was O
in O
their O
service O
. O

They O
were O
taken O
in O
handcuffs O
on O
January O
27 O
, O
1944 O
, O
to O
the O
Gestapo B-ORG
, O
and O
from O
there O
to O
prison B-TER
. O

Czuliński B-PER
was O
sent O
to O
a O
camp B-TER
, O
to O
Gdańsk B-LOC
. O

He O
was O
the O
one O
who O
sent O
word O
that O
it O
had O
been O
the O
maid O
who O
delivered O
them O
into O
the O
hands O
of O
the O
executioners B-TER
. O

My O
poor O
child B-TER
stayed O
in O
the O
death B-TER
cell I-TER
suffering O
and O
hungry B-TER
until O
the O
next O
transport B-TER
to O
Zielona B-LOC
, I-LOC
where O
the O
martyrs O
were O
killed B-TER
during O
that O
period O
. O

My O
relatives B-TER
took O
me O
under O
their O
care O
and O
convinced O
their O
protectors O
to O
keep O
and O
protect O
me O
as O
well O
. O

We O
were O
there O
when O
the O
Red B-ORG
Army I-ORG
arrived O
and O
liberated B-TER
us O
. O

It O
is O
only O
now O
that O
I O
feel O
the O
full O
brunt O
of O
my O
misfortune O
, O
all O
the O
delusions O
and O
hopes O
have O
burst O
. O

No O
one O
will O
return O
to O
us O
our O
dear O
ones O
who O
are O
dead B-TER
now O
, O
who O
were O
killed B-TER
in O
such O
a O
brutal O
fashion O
. O

Białystok B-LOC
, O
September O
1 O
, O
1944 O
. O

Marta B-PER
Klein I-PER
