Günzenberger B-PER
öregeket O
, O
gyermekeket O
, O
és O
gyengéket O
. O

Bennünket O
fürdőbe O
vittek O
, O
elvették O
minden O
holminkat O
, O
és O
miután O
megnyírtak O
, O
megfürdettek O
és O
órákig O
álltunk O
meztelenül O
egy O
hideg O
szobában O
, O
rongyos O
ruhák B-TER
ba O
öltöztettek O
. O

Azután O
betereltek O
egy O
barakkba O
, O
ahol O
már O
csak O
a O
földön O
volt O
a O
számunkra O
hely O
. O

Auschwitz B-LOC
ban O
az O
egész O
idő O
appellállás B-TER
sal O
telt O
el O
. O

Reggeltől O
- O
délig O
appell B-TER
, O
azután O
sorbaállás B-TER
az O
ebédért O
, O
délután O
újból O
két O
óra O
appell O
. O

Közben O
blokktakarítás O
, O
amikor O
szintén O
kikergettek O
a O
szabadba O
. O

Szelekció B-TER
gyakran O
volt O
, O
ami O
mindig O
rettenetes O
izgalommal O
járt O
, O
mivel O
akkor O
már O
tudtuk O
, O
hogy O
mit O
jelent O
a O
kiválasztás O
és O
, O
hogy O
miért O
lángolnak O
éjjel O
- O
nappal O
a O
krematórium B-TER
kéményei O
. O

Alig O
10 O
nap O
múlva O
beválasztottak B-TER
egy O
transzport B-TER
ba O
, O
amely O
munkára B-TER
ment O
. O

Ekkor O
újból O
megfürdettek O
és O
vonat B-TER
on O
elvittek O
Bergen B-LOC
- I-LOC
Belsen I-LOC
be O
. O

Örültünk O
, O
hogy O
mi O
ketten O
, O
akik O
otthon B-LOC
ról O
ismerjük O
egymást O
, O
együtt O
maradhattunk O
és O
örültünk O
, O
hogy O
Auschwitz B-LOC
ból O
elkerülhettük O
, O
mert O
ott O
állandó O
izgalomban O
éltünk O
. O

Bergen B-LOC
- I-LOC
Belsen I-LOC
ben O
sem O
volt O
jobb O
a O
sorsunk O
. O

Az O
ennivaló B-TER
nagyon O
kevés B-TER
volt O
a O
bánásmód O
, O
pedig O
kegyetlen O
. O

Ütötték O
- O
verték O
az O
emberek B-TER
et O
. O

Borzasztó O
nehéz O
munkát B-TER
kellett O
végezni O
, O
súlyos O
terheket O
cipelni O
. O

Nagyon O
sokan O
pusztultak B-TER
itt O
naponta O
. O

Szerencsére O
nem O
maradtunk O
itt O
sokáig O
, O
hanem O
újból O
útnak O
indítottak O
és O
Salzwedel B-LOC
be O
vittek O
. O

Salzwedel B-LOC
kis O
láger O
volt O
, O
mindössze O
1300 O
nő B-TER
volt O
ott O
. O

A O
bánásmód O
nem O
volt O
olyan O
kegyetlen O
, O
mint O
Bergen B-LOC
ben O
. O

Az O
ellátás B-TER
reggel O
és O
este O
fél O
liter O
feketekávé B-TER
ból O
, O
és O
délben O
híg O
főzelék B-TER
ből O
, O
20 O
deka O
kenyér B-TER
ből O
állott O
. O

Néha O
kaptunk O
2 O
deka O
margarin B-TER
t O
, O
vagy O
marmelad B-TER
ot O
. O

Borzasztó O
sokat O
éheztünk B-TER
. O

A O
munkánk B-TER
nagyon O
sok O
volt O
, O
ha O
nem O
is O
olyan O
nehéz O
. O

Főképpen O
homokot O
, O
és O
kavicsot O
lapátoltunk O
, O
naponta O
12 O
órát O
. O

Sokan O
meghaltak B-TER
itt O
végelgyengülésben O
. O

Mindenki O
olyan O
sovány O
volt O
, O
mint O
a O
csontváz O
. O

Amikor O
az O
amerikaiak B-TER
közeledtek O
, O
el O
akartak O
vinni O
minket O
, O
azonban O
már O
nem O
volt O
erre O
idő O
, O
mert O
megérkeztek B-TER
a I-TER
lágerbe I-TER
az O
amerikaiak B-ORG
. O

